Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Coordinate_System,Approval_Status,Approval_Date,Origin,
"De Sitter","Moon",63.79,79.81,38.57,"Planetographic  +East  -180 - 180","Approved","1964","Willem; Dutch astronomer (1872-1934).",
"Deslandres","Moon",227.02,-32.55,-5.57,"Planetographic  +East  -180 - 180","Approved","1948","Henri Alexandre; French astrophysicist (1853-1948).",
"Deutsch","Moon",73.33,24.35,110.91,"Planetographic  +East  -180 - 180","Approved","1970","Armin Joseph; American astronomer (1918-1969).",
"De Vico","Moon",22.13,-19.71,-60.32,"Planetographic  +East  -180 - 180","Approved","1935","Francesco; Italian astronomer (1805-1848).",
"De Vries","Moon",57.51,-19.68,-176.78,"Planetographic  +East  -180 - 180","Approved","1970","Hugo Marie; Dutch botanist (1848-1935).",
"Dewar","Moon",46.31,-2.61,165.62,"Planetographic  +East  -180 - 180","Approved","1970","Sir James; British chemist (1842-1923).",
"Diana","Moon",1.55,14.29,35.65,"Planetographic  +East  -180 - 180","Approved","1979","Latin female name.",
"Diderot","Moon",20,-20.42,121.54,"Planetographic  +East  -180 - 180","Approved","1979","Denis; French philosopher (1713-1784).",
"Dionysius","Moon",17.25,2.77,17.29,"Planetographic  +East  -180 - 180","Approved","1935","St. Dionysius the Areopagite; Greek astronomer (fl. 1st century A.D.).",
"Diophantus","Moon",17.57,27.62,-34.3,"Planetographic  +East  -180 - 180","Approved","1935","Greek mathematician (unkn-c. A.D. 300).",
"Dirichlet","Moon",47.24,10.58,-152.05,"Planetographic  +East  -180 - 180","Approved","1970","Peter Gustav Lejeune; German mathematician (1805-1859).",
"Dobrovol'skiy","Moon",38.4,-12.83,129.68,"Planetographic  +East  -180 - 180","Approved","1973","Georgy Timofeyevich; Soviet cosmonaut (1928-1971).",
"Doerfel","Moon",68.63,-68.97,-108.53,"Planetographic  +East  -180 - 180","Approved","1985","Georg Samuel; German astronomer (1643-1688).",
"Dollond","Moon",11.04,-10.48,14.41,"Planetographic  +East  -180 - 180","Approved","1935","John; British optician (1706-1761).",
"Donati","Moon",35.84,-20.69,5.1,"Planetographic  +East  -180 - 180","Approved","1935","Giovanni Battista; Italian astronomer (1826-1873).",
"Donna","Moon",1.84,7.22,38.3,"Planetographic  +East  -180 - 180","Approved","1979","Italian female name.",
"Donner","Moon",55.05,-31.35,97.99,"Planetographic  +East  -180 - 180","Approved","1970","Anders Severin; Finnish astronomer (1854-1938).",
"Doppelmayer","Moon",65.08,-28.48,-41.51,"Planetographic  +East  -180 - 180","Approved","1935","Johann Gabriel; German mathematician, astronomer (1671-1750).",
"Doppler","Moon",101.79,-12.58,-159.84,"Planetographic  +East  -180 - 180","Approved","1970","Johann Christian; Austrian physicist, mathematician, astronomer (1803-1853).",
"Douglass","Moon",50.95,35.5,-122.72,"Planetographic  +East  -180 - 180","Approved","1970","Andrew Ellicott; American astronomer (1867-1962).",
"Dove","Moon",30.36,-46.83,31.42,"Planetographic  +East  -180 - 180","Approved","1935","Heinrich Wilhelm; German physicist (1803-1879).",
"[Doyle]","Moon",0,2,84.5,"Planetographic  +East  -180 - 180","Not Approved"," ","Sir Arthur Conan; British novelist (1859-1930).",
"Draper","Moon",8.28,17.56,-21.75,"Planetographic  +East  -180 - 180","Approved","1935","Henry; American astronomer (1837-1882).",
"Drebbel","Moon",30.23,-40.93,-49.12,"Planetographic  +East  -180 - 180","Approved","1935","Cornelius; Dutch inventor (1572-1634).",
"Dreyer","Moon",63.84,10.24,97.09,"Planetographic  +East  -180 - 180","Approved","1970","Johann Ludwig Emil; Danish astronomer (1852-1926).",
"Drude","Moon",27.13,-38.56,-91.89,"Planetographic  +East  -180 - 180","Approved","1970","Paul Karl Ludwig; German physicist (1863-1906).",
"Dryden","Moon",54.45,-33.21,-156.15,"Planetographic  +East  -180 - 180","Approved","1970","Hugh Latimer; American physicist, engineer (1898-1965).",
"Drygalski","Moon",162.49,-79.57,-87.18,"Planetographic  +East  -180 - 180","Approved","1964","Erich Dagobert von; German geographer, geophysicist (1865-1949).",
"Dubyago","Moon",48.12,4.38,69.95,"Planetographic  +East  -180 - 180","Approved","1964","Dmitrij Ivanovich; Russian astronomer (1850-1918); Alexander Dmitrievich; Soviet astronomer (1903-1959).",
"Dufay","Moon",36.11,5.57,169.54,"Planetographic  +East  -180 - 180","Approved","1970","Jean Claude Barthélemy; French astronomer (1896-1967).",
"Dugan","Moon",49.65,64.12,103.11,"Planetographic  +East  -180 - 180","Approved","1970","Raymond Smith; American astronomer (1878-1940).",
"[Dumas]","Moon",0,-5.3,81.7,"Planetographic  +East  -180 - 180","Not Approved"," ","Alexandre; French novelist (1802-1870).",
"Dunér","Moon",65.07,44.68,179.46,"Planetographic  +East  -180 - 180","Approved","1970","Nils Christofer; Swedish astronomer (1839-1914).",
"Dunthorne","Moon",15.12,-30.12,-31.71,"Planetographic  +East  -180 - 180","Approved","1935","Richard; British astronomer (1711-1775).",
"Dyson","Moon",63.14,60.87,-121.71,"Planetographic  +East  -180 - 180","Approved","1970","Sir Frank Watson; British astronomer (1868-1939).",
"Dziewulski","Moon",68.9,20.99,99.02,"Planetographic  +East  -180 - 180","Approved","1970","Wladyslaw; Polish astronomer (1878-1962).",
"Eckert","Moon",2.62,17.28,58.38,"Planetographic  +East  -180 - 180","Approved","1973","Wallace John; American astronomer (1902-1971).",
"Eddington","Moon",120.13,21.5,-72.02,"Planetographic  +East  -180 - 180","Approved","1964","Sir Arthur Stanley; British astrophysicist, mathematician (1882-1944).",
"Edison","Moon",62.72,24.88,99.27,"Planetographic  +East  -180 - 180","Approved","1961","Thomas Alva; American inventor (1847-1931).",
"Edith","Moon",6.92,-25.77,102.33,"Planetographic  +East  -180 - 180","Approved","1976","English female name.",
"Egede","Moon",34.18,48.72,10.64,"Planetographic  +East  -180 - 180","Approved","1935","Hans; Danish natural historian (1686-1758).",
"Ehrlich","Moon",33.58,40.82,-172.27,"Planetographic  +East  -180 - 180","Approved","1970","Paul; German doctor; Nobel laureate (1854-1915).",
"Eichstadt","Moon",49.57,-22.63,-78.42,"Planetographic  +East  -180 - 180","Approved","1935","Lorentz; German mathematician, astronomer (1596-1660).",
"Eijkman","Moon",56.36,-63.21,-142.51,"Planetographic  +East  -180 - 180","Approved","1970","Christiaan; Dutch doctor; Nobel laureate (1858-1930).",
"Eimmart","Moon",44.99,23.97,64.8,"Planetographic  +East  -180 - 180","Approved","1935","Georg Christoph; German astronomer (1638-1705).",
"Einstein","Moon",181.47,16.6,-88.65,"Planetographic  +East  -180 - 180","Approved","1964","Albert; German-American physicist; Nobel laureate (1879-1955).",
"Einthoven","Moon",73.94,-5.06,110.06,"Planetographic  +East  -180 - 180","Approved","1970","Willem; Dutch physiologist; Nobel laureate (1860-1927).",
"Elger","Moon",21.51,-35.4,-29.81,"Planetographic  +East  -180 - 180","Approved","1935","Thomas Gwyn Empy; British astronomer (1836-1897).",
"[El Greco]","Moon",0,14,34.7,"Planetographic  +East  -180 - 180","Not Approved"," ","Spanish artist, born in Crete (c. 1541-1614).",
"Ellerman","Moon",46.21,-25.44,-120.39,"Planetographic  +East  -180 - 180","Approved","1970","Ferdinand; American astronomer (1869-1940).",
"Ellison","Moon",36.99,54.93,-108.05,"Planetographic  +East  -180 - 180","Approved","1970","Mervyn Archdall; Irish-born British astronomer (1909-1963).",
"Elmer","Moon",16.86,-10.23,84.18,"Planetographic  +East  -180 - 180","Approved","1976","Charles Wesley; American astronomer (1872-1954).",
"Elvey","Moon",80.21,9.01,-100.64,"Planetographic  +East  -180 - 180","Approved","1970","Christian Thomas; American astronomer, geophysicist (1899-1970).",
"Emden","Moon",114.64,62.76,-176.51,"Planetographic  +East  -180 - 180","Approved","1970","Robert; Swiss astrophysicist, meteorologist (1862-1940).",
"Encke","Moon",28.27,4.57,-36.68,"Planetographic  +East  -180 - 180","Approved","1935","Johann Franz; German mathematician, astronomer (1791-1865).",
"Endymion","Moon",122.1,53.61,56.48,"Planetographic  +East  -180 - 180","Approved","1935","Greek mythological character.",
"Engel'gardt (Engelhardt)","Moon",43.51,5.39,-159.47,"Planetographic  +East  -180 - 180","Approved","1970","Vasilij Pavlovich; Russian astronomer (1828-1915).",
"Eötvös","Moon",101.8,-35.61,134.43,"Planetographic  +East  -180 - 180","Approved","1970","Lóránt (English - Roland) von; Hungarian physicist (1848-1919).",
"Epigenes","Moon",54.51,67.5,-4.62,"Planetographic  +East  -180 - 180","Approved","1935","Greek astronomer (unkn-c. 200 B.C.).",
"Epimenides","Moon",22.56,-40.92,-30.33,"Planetographic  +East  -180 - 180","Approved","1935","Greek philosopher, writer (unkn-fl. 596 B.C.).",
"[Eppinger]","Moon",0,-9.4,-25.7,"Planetographic  +East  -180 - 180","Dropped","1976","H.; Czechoslovakian doctor (1879-1946).",
"Eratosthenes","Moon",58.77,14.47,-11.32,"Planetographic  +East  -180 - 180","Approved","1935","Greek astronomer, geographer (c. 276-196 B.C.).",
"Erlanger","Moon",10.94,86.99,28.62,"Planetographic  +East  -180 - 180","Approved","Jan 22, 2009","Joseph; American physiologist, Nobel Prize winner 1944 (1874-1965).",
"Erro","Moon",63.75,5.68,98.54,"Planetographic  +East  -180 - 180","Approved","1970","Luis Enrique; Mexican astronomer (1897-1955).",
"Esclangon","Moon",15.29,21.47,42.06,"Planetographic  +East  -180 - 180","Approved","1976","Ernest Benjamin; French astronomer (1876-1954).",
"Esnault-Pelterie","Moon",76.79,47.41,-141.83,"Planetographic  +East  -180 - 180","Approved","1970","Robert-Albert-Charles; French rocketry engineer (1881-1957).",
"Espin","Moon",70.01,28.15,109.34,"Planetographic  +East  -180 - 180","Approved","1970","Thomas Henry Espinall Compton; British astronomer (1858-1934).",
"Euclides","Moon",11.8,-7.4,-29.56,"Planetographic  +East  -180 - 180","Approved","1935","Euclid; Greek mathematician (unkn-c. 300 B.C.).",
"Euctemon","Moon",62.7,76.26,30.57,"Planetographic  +East  -180 - 180","Approved","1935","Greek astronomer (unkn-fl. 432 B.C.).",
"Eudoxus","Moon",70.16,44.27,16.23,"Planetographic  +East  -180 - 180","Approved","1935","Greek astronomer (c. 408-355 B.C.).",
"Euler","Moon",26.03,23.26,-29.18,"Planetographic  +East  -180 - 180","Approved","1935","Leonhard; Swiss mathematician (1707-1783). ",
"Evans","Moon",69.4,-9.63,-133.78,"Planetographic  +East  -180 - 180","Approved","1970","Sir Arthur; British archaeologist (1851-1941).",
"Evdokimov","Moon",48.88,34.57,-153.04,"Planetographic  +East  -180 - 180","Approved","1970","Nikolaj N.; Soviet astronomer (1868-1940).",
"Evershed","Moon",65.28,35.3,-159.51,"Planetographic  +East  -180 - 180","Approved","1970","John; British astronomer (1864-1956).",
"Ewen","Moon",2.6,7.69,121.46,"Planetographic  +East  -180 - 180","Approved","1979","Gaelic male name.",
"Fabbroni","Moon",10.55,18.66,29.27,"Planetographic  +East  -180 - 180","Approved","1976","Giovanni Valentino Mattia; Italian chemist (1752-1822).",
"Fabricius","Moon",78.9,-42.75,41.84,"Planetographic  +East  -180 - 180","Approved","1935","Goldschmidt, David; Dutch astronomer (1564-1617).",
"Fabry","Moon",179.44,43.07,100.68,"Planetographic  +East  -180 - 180","Approved","1970","Charles; French physicist (1867-1945).",
"Fahrenheit","Moon",6.65,13.12,61.71,"Planetographic  +East  -180 - 180","Approved","1976","Gabriel Daniel; Dutch physicist (1686-1736).",
"Fairouz","Moon",2.87,-26.07,102.95,"Planetographic  +East  -180 - 180","Approved","1976","Arab female name.",
"Faraday","Moon",69.03,-42.45,8.75,"Planetographic  +East  -180 - 180","Approved","1935","Michael; British chemist, physicist (1791-1867).",
"Faustini","Moon",42.48,-87.18,84.31,"Planetographic  +East  -180 - 180","Approved","1994","Arnaldo; Italian polar geographer (1874-1944).",
"Fauth","Moon",11.94,6.23,-20.14,"Planetographic  +East  -180 - 180","Approved","1935","Philipp Johann Heinrich; German selenographer (1867-1941).",
"Faye","Moon",38.02,-21.39,3.81,"Planetographic  +East  -180 - 180","Approved","1935","Hervé-Auguste-Etienne-Albans; French astronomer (1814-1902).",
"Fechner","Moon",59.32,-58.25,125.03,"Planetographic  +East  -180 - 180","Approved","1970","Gustav Theodor; German physicist, psychologist, and philosopher (1801-1887).",
"Fedorov","Moon",6.08,28.23,-37.05,"Planetographic  +East  -180 - 180","Approved","1979","A.P.; Russian rocket scientist (1872-1920).",
"Felix","Moon",1.45,25.09,-25.38,"Planetographic  +East  -180 - 180","Approved","1979","Latin male name.",
"Fényi","Moon",43.31,-44.94,-105.06,"Planetographic  +East  -180 - 180","Approved","1970","Gyula; Hungarian astronomer (1845-1927).",
"Feoktistov","Moon",22.06,30.73,140.5,"Planetographic  +East  -180 - 180","Approved","1970","Konstantin P.; Soviet cosmonaut (1926-2009).",
"Fermat","Moon",37.77,-22.71,19.79,"Planetographic  +East  -180 - 180","Approved","1935","Pierre De; French mathematician (1601-1665).",
"Fermi","Moon",241.41,-19.61,123.24,"Planetographic  +East  -180 - 180","Approved","1970","Enrico; Italian-American physicist; Nobel laureate (1901-1954).",
"Fernelius","Moon",68.42,-38.18,4.86,"Planetographic  +East  -180 - 180","Approved","1935","Jean François; French doctor, astronomer (1497-1558).",
"Fersman","Moon",148.14,17.9,-126.06,"Planetographic  +East  -180 - 180","Approved","1970","Aleksandr Yevgenyevich; Soviet geochemist (1883-1945).",
"Fesenkov","Moon",36.12,-23.16,135.14,"Planetographic  +East  -180 - 180","Approved","1973","Vasilii Grigor'evich; Russian astrophysicist (1889-1972).",
"Feuillée","Moon",8.94,27.37,-9.46,"Planetographic  +East  -180 - 180","Approved","1935","Louis; French natural scientist (1660-1732).",
"Fibiger","Moon",21.1,86.14,37.13,"Planetographic  +East  -180 - 180","Approved","Jan 22, 2009","Joahnnes Andreas Grib; Danish pathologist, Nobel Prize winner 1926 (1867-1928).",
"Finsch","Moon",4.05,23.58,21.27,"Planetographic  +East  -180 - 180","Approved","1976","Otto Friedrich Hermann; German zoologist (1839-1917).",
"Finsen","Moon",72.98,-42.29,-177.72,"Planetographic  +East  -180 - 180","Approved","1979","Niels Ryberg; Danish phototherapist; Nobel laureate (1860-1904).",
"[Firdausi]","Moon",6.11,24.68,-34.07,"Planetographic  +East  -180 - 180","Not Approved"," ","Hasan; Persian author (c. 940-1020).",
"Firmicus","Moon",56.81,7.25,63.43,"Planetographic  +East  -180 - 180","Approved","1935","Julius Maternus of Syracuse; Roman astrologer (fl. A.D. 330-354).",
"Firsov","Moon",51,4.2,112.7,"Planetographic  +East  -180 - 180","Approved","1970","Georgij Frolovich; Soviet rocketry engineer (1917-1960).",
"Fischer","Moon",30.48,7.99,142.44,"Planetographic  +East  -180 - 180","Approved","1976","Emil Hermann; German chemist (1852-1919); Hans; German organic chemist (1881-1945).",
"Fitzgerald","Moon",104.21,26.67,-172.14,"Planetographic  +East  -180 - 180","Approved","1970","George Francis; Irish physicist (1851-1901).",
"Fizeau","Moon",107.08,-58.19,-134.11,"Planetographic  +East  -180 - 180","Approved","1970","Armand-Hippolyte-Louis; French physicist (1819-1896).",
"Flammarion","Moon",76.18,-3.33,-3.73,"Planetographic  +East  -180 - 180","Approved","1935","Camille; French astronomer (1842-1925).",
"Flamsteed","Moon",19.34,-4.49,-44.34,"Planetographic  +East  -180 - 180","Approved","1935","John; British astronomer (1646-1719).",
"Fleming","Moon",126.37,14.91,109.28,"Planetographic  +East  -180 - 180","Approved","1970","Alexander; British doctor, Nobel laureate (1881-1955); Williamina Paton; Scottish-born American astronomer (1857-1911).",
"Florensky","Moon",69.03,25.45,131.85,"Planetographic  +East  -180 - 180","Approved","1985","Kirill Pavlovich; Soviet geologist (1915-1982). ",
"Florey","Moon",69.06,87.04,-19.75,"Planetographic  +East  -180 - 180","Approved","Jan 22, 2009","Howard Walter; Australian-born British pathologist, Nobel Prize winner 1945 (1898-1968).",
"Focas","Moon",22.04,-33.7,-93.91,"Planetographic  +East  -180 - 180","Approved","1970","Ionnas (Jean-Henri); Greek/French astronomer (1909-1969).",
"Fontana","Moon",31.47,-16.04,-56.79,"Planetographic  +East  -180 - 180","Approved","1935","Francesco; Italian astronomer (c. 1585-1646).",
"Fontenelle","Moon",37.68,63.42,-18.96,"Planetographic  +East  -180 - 180","Approved","1935","Bernard Le Bovier De; French astronomer (1657-1757).",
"Foster","Moon",37.02,23.59,-141.49,"Planetographic  +East  -180 - 180","Approved","1970","John Stuart; Canadian physicist (1890-1964).",
"Foucault","Moon",25.08,50.46,-39.86,"Planetographic  +East  -180 - 180","Approved","1935","Leon; French physicist (1819-1868).",
"Fourier","Moon",51.57,-30.31,-53.1,"Planetographic  +East  -180 - 180","Approved","1935","Jean-Baptiste Joseph; French mathematician (1768-1830).",
"Fowler","Moon",139.52,42.59,-145.27,"Planetographic  +East  -180 - 180","Approved","1970","Alfred; British astronomer (1868-1940); Ralph Howard; British mathematician; physicist (1889-1944).",
"Fox","Moon",23.97,0.47,98.14,"Planetographic  +East  -180 - 180","Approved","1973","Philip; American astronomer (1878-1944).",
"Fracastorius","Moon",120.58,-21.36,33.07,"Planetographic  +East  -180 - 180","Approved","1935","Fracastoro, Girolamo; Italian doctor, astronomer (1483-1553).",
"Fra Mauro","Moon",96.76,-6.06,-16.97,"Planetographic  +East  -180 - 180","Approved","1935","Italian geographer (unkn-1459).",
"Franck","Moon",11.91,22.59,35.56,"Planetographic  +East  -180 - 180","Approved","1973","James; German physicist; Nobel laureate (1882-1964).",
"Franklin","Moon",55.92,38.73,47.64,"Planetographic  +East  -180 - 180","Approved","1935","Benjamin; American inventor (1706-1790).",
"Franz","Moon",25.48,16.57,40.24,"Planetographic  +East  -180 - 180","Approved","1935","Julius Heinrich; German astronomer (1847-1913).",
"Fraunhofer","Moon",57.75,-39.52,59.06,"Planetographic  +East  -180 - 180","Approved","1935","Joseph von; German astronomer, optician (1787-1826).",
"Fredholm","Moon",13.39,18.37,46.55,"Planetographic  +East  -180 - 180","Approved","1976","Erik Ivar; Swedish mathematician (1866-1927).",
"Freud","Moon",2.85,25.79,-52.4,"Planetographic  +East  -180 - 180","Approved","1973","Sigmund; Austrian psychoanalyst (1856-1939).",
"Freundlich","Moon",83.16,25,170.89,"Planetographic  +East  -180 - 180","Approved","1970","Erwin (Finlay-); German-British astronomer (1885-1964).",
"Fridman (Friedmann)","Moon",101.45,-12.48,-126.88,"Planetographic  +East  -180 - 180","Approved","1970","Aleksandr Alexandrovich; Soviet physicist (1888-1925).",
"Froelich","Moon",56.73,80,-111.63,"Planetographic  +East  -180 - 180","Approved","1970","Jack Edward (Froehlich); American rocket scientist (1921-1967).",
"Frost","Moon",78.3,37.41,-118.9,"Planetographic  +East  -180 - 180","Approved","1970","Edwin Brant; American astronomer (1866-1935).",
"Fryxell","Moon",17.62,-21.25,-101.65,"Planetographic  +East  -180 - 180","Approved","1985","Roald Hilding; American geologist (1934-1974).",
"Furnerius","Moon",135.03,-36,60.54,"Planetographic  +East  -180 - 180","Approved","1935","Fournier, Georges: French mathematician (1595-1652).",
"Gadomski","Moon",65.66,36.21,-147.36,"Planetographic  +East  -180 - 180","Approved","1970","Jan; Polish astronomer (1889-1966).",
"Gagarin","Moon",261.83,-19.66,149.35,"Planetographic  +East  -180 - 180","Approved","1970","Yury Alekseyevich; Soviet cosmonaut (1934-1968).",
"Galen","Moon",9.18,21.95,4.96,"Planetographic  +East  -180 - 180","Approved","1973","Claudius; Greek doctor (c. 129-200).",
"Galilaei","Moon",15.99,10.48,-62.83,"Planetographic  +East  -180 - 180","Approved","1935","Galileo; Italian astronomer, physicist (1564-1642).",
"Galle","Moon",20.96,55.87,22.33,"Planetographic  +East  -180 - 180","Approved","1935","Johann Gottfried; German astronomer (1812-1910).",
"Galois","Moon",231.97,-13.94,-152.99,"Planetographic  +East  -180 - 180","Approved","1970","Evariste; French mathematician (1811-1832).",
"Galvani","Moon",76.83,49.51,-84.56,"Planetographic  +East  -180 - 180","Approved","1961","Luigi; Italian physicist (1737-1798).",
"Gambart","Moon",24.68,0.92,-15.24,"Planetographic  +East  -180 - 180","Approved","1935","Jean-Felix-Adolphe; French astronomer (1800-1836).",
"Gamow","Moon",113.92,65.29,144.65,"Planetographic  +East  -180 - 180","Approved","1970","George; American physicist (1904-1968).",
"Ganskiy (Hansky)","Moon",42.11,-9.64,97,"Planetographic  +East  -180 - 180","Approved","1970","Aleksey Pavlovich; Russian astronomer (1870-1908). ",
"Ganswindt","Moon",77.52,-79.42,111.17,"Planetographic  +East  -180 - 180","Approved","1970","Hermann; German rocketry engineer (1856-1934).",
"Garavito","Moon",81.05,-47.21,156.78,"Planetographic  +East  -180 - 180","Approved","1970","Julio Garavito Armero; Colombian astronomer (1865-1920).",
"Gardner","Moon",17.62,17.75,33.81,"Planetographic  +East  -180 - 180","Approved","1976","Irvine Clifton; American physicist (1889-1972).",
"Gärtner","Moon",101.79,59.24,34.76,"Planetographic  +East  -180 - 180","Approved","1935","Christian; German mineralogist, geologist (c. 1750-1813).",
"Gassendi","Moon",111.39,-17.55,-39.96,"Planetographic  +East  -180 - 180","Approved","1935","Pierre; French astronomer, mathematician (1592-1655).",
"Gaston","Moon",2.02,30.88,-33.96,"Planetographic  +East  -180 - 180","Approved","1979","French male name.",
"Gaudibert","Moon",33.14,-10.93,37.82,"Planetographic  +East  -180 - 180","Approved","1935","Casimir Marie; French astronomer (1823-1901).",
"Gauricus","Moon",79.64,-33.91,-12.74,"Planetographic  +East  -180 - 180","Approved","1935","Gaurico, Luca; Italian astronomer (1476-1558).",
"Gauss","Moon",170.72,36.01,79.08,"Planetographic  +East  -180 - 180","Approved","1935","Karl Friedrich; German mathematician (1777-1855).",
"Gavrilov","Moon",61.62,17.41,131.22,"Planetographic  +East  -180 - 180","Approved","1970","Aleksandr Ivanovich; Soviet rocket engineer (1884-1955), Igor V.; Soviet astronomer (1928-1982).",
"Gay-Lussac","Moon",25.4,13.88,-20.79,"Planetographic  +East  -180 - 180","Approved","1935","Joseph Louis; French physicist (1778-1850).",
"G. Bond","Moon",19.05,32.39,36.32,"Planetographic  +East  -180 - 180","Approved","1935","George Philip; American astronomer (1826-1865).",
"Geber","Moon",44.68,-19.46,13.85,"Planetographic  +East  -180 - 180","Approved","1935","Jābir Ibn Aflah Al-Ishbīlī, Abū Muhammad; Spanish-Arab astronomer (fl. first half of twelfth cent.).",
"Geiger","Moon",36.63,-14.39,158.41,"Planetographic  +East  -180 - 180","Approved","1970","Johannes Hans Wilhelm; German physicist (1882-1945).",
"Geissler","Moon",17.39,-2.6,76.51,"Planetographic  +East  -180 - 180","Approved","1976","Heinrich; German physicist (1814-1879).",
"Geminus","Moon",81.98,34.42,56.66,"Planetographic  +East  -180 - 180","Approved","1935","Greek astronomer (unkn-c. 70 B.C.).",
"Gemma Frisius","Moon",88.54,-34.33,13.37,"Planetographic  +East  -180 - 180","Approved","1935","Jemma, Reinier; Dutch doctor (1508-1555).",
"Gena","Moon",0.2,38.27,-35.01,"Planetographic  +East  -180 - 180","Approved","Jun 14, 2012","Greek-derived male name Gennady in Russian diminutive form (Lunokhod-1 landing site feature).",
"Gerard","Moon",98.78,44.54,-80.51,"Planetographic  +East  -180 - 180","Approved","1935","Alexander; Scottish explorer (1792-1839).",
"Gerasimovich","Moon",90.19,-22.95,-123.42,"Planetographic  +East  -180 - 180","Approved","1970","Boris Petrovich; Soviet astronomer (1889-1937).",
"Gernsback","Moon",47.2,-36.53,99.53,"Planetographic  +East  -180 - 180","Approved","1970","Hugo; American writer (1884-1967).",
"Gibbs","Moon",78.76,-18.37,84.27,"Planetographic  +East  -180 - 180","Approved","1964","Josiah Willard; American mathematical physicist (1839-1903).",
"Gilbert","Moon",100.25,-3.2,76.16,"Planetographic  +East  -180 - 180","Approved","1964","Grove Karl; American geologist (1843-1918), William; English physician and physicist (1544-1603).",
"Gill","Moon",63.9,-63.77,75.95,"Planetographic  +East  -180 - 180","Approved","1964","Sir David; British astronomer (1843-1914).",
"Ginzel","Moon",53.23,14.25,97.4,"Planetographic  +East  -180 - 180","Approved","1970","Friedrich Karl; Austrian astronomer (1850-1926).",
"Gioja","Moon",42.47,83.35,1.76,"Planetographic  +East  -180 - 180","Approved","1935","Flavio; Italian inventor (unkn-fl. 1302).",
"Giordano Bruno","Moon",22.13,35.97,102.89,"Planetographic  +East  -180 - 180","Approved","1961","Italian astronomer (1548-1600).",
"Glaisher","Moon",15.92,13.19,49.34,"Planetographic  +East  -180 - 180","Approved","1935","James; British meteorologist (1809-1903).",
"Glauber","Moon",15.24,11.32,142.67,"Planetographic  +East  -180 - 180","Approved","1976","Johann Rudolph; German chemist (c. 1603-1670).",
"Glazenap","Moon",38.96,-1.85,137.76,"Planetographic  +East  -180 - 180","Approved","1970","Sergei Pavlovich; Soviet astronomer (1848-1937).",
"Glushko","Moon",40.1,8.11,-77.67,"Planetographic  +East  -180 - 180","Approved","1994","Valentin Petrovich; Russian space scientist (1908-1989). ",
"Goclenius","Moon",73.04,-10.05,45.03,"Planetographic  +East  -180 - 180","Approved","1935","Gockel, Rudolf; German physicist, doctor, mathematician (1572-1621).",
"Goddard","Moon",93.18,15.15,89.13,"Planetographic  +East  -180 - 180","Approved","1964","Robert Hutchings; American rocketry scientist (1882-1945).",
"Godin","Moon",34.25,1.82,10.16,"Planetographic  +East  -180 - 180","Approved","1935","Louis; French astronomer, mathematician (1704-1760).",
"Goldschmidt","Moon",115.26,73.04,-3.37,"Planetographic  +East  -180 - 180","Approved","1935","Hermann; French astronomer of German origin, discoverer of asteroid (21) Lutetia (1802-1866).",
"Golgi","Moon",5.58,27.78,-59.96,"Planetographic  +East  -180 - 180","Approved","1976","Camillo; Italian doctor; Nobel laureate (c. 1843-1926).",
"Golitsyn","Moon",35.47,-25.2,-105.2,"Planetographic  +East  -180 - 180","Approved","1970","Boris Borisovich; Russian physicist (1862-1916).",
"Golovin","Moon",37.86,39.75,161.24,"Planetographic  +East  -180 - 180","Approved","1970","Nicholas Erasmus; American rocketry scientist (1912-1969).",
"Goodacre","Moon",44.09,-32.67,14.08,"Planetographic  +East  -180 - 180","Approved","1935","Walter; British selenographer (1856-1938).",
"Gore","Moon",9.41,86.18,-62.31,"Planetographic  +East  -180 - 180","Approved","Jan 22, 2009","John Ellard; Irish astronomer (1845-1910).",
"Gould","Moon",32.99,-19.26,-17.25,"Planetographic  +East  -180 - 180","Approved","1935","Benjamin Apthorp; American astronomer (1824-1896).",
"Grace","Moon",1.49,14.21,35.89,"Planetographic  +East  -180 - 180","Approved","1979","English female name.",
"Grachev","Moon",34.98,-3.83,-108.42,"Planetographic  +East  -180 - 180","Approved","1970","Andrej Dmitrievich; Soviet rocketry scientist (1900-1964).",
"Graff","Moon",36.16,-42.3,-88.71,"Planetographic  +East  -180 - 180","Approved","1970","Kasimir Romuald; Polish-German astronomer (1878-1950).",
"Grave","Moon",36.95,-17.04,150.23,"Planetographic  +East  -180 - 180","Approved","1976","Dmitry Aleksandrovich; Soviet mathematician (1863-1939); Ivan Platonovich; Soviet engineer (1874-1960).",
"Greaves","Moon",14.27,13.18,52.79,"Planetographic  +East  -180 - 180","Approved","1976","William Michael Herbert; British astronomer (1897-1955). ",
"Green","Moon",68.28,3.69,133.12,"Planetographic  +East  -180 - 180","Approved","1970","George; British mathematician (1793-1841).",
"Gregory","Moon",63.9,1.76,127.28,"Planetographic  +East  -180 - 180","Approved","1970","James; Scottish astronomer, mathematician (1638-1675).",
"Grigg","Moon",36.72,12.5,-130.13,"Planetographic  +East  -180 - 180","Approved","1970","John; New Zealander astronomer (1838-1920).",
"Grignard","Moon",12.95,84.54,-75.83,"Planetographic  +East  -180 - 180","Approved","Jan 22, 2009","Victor; French chemist, Nobel Prize winner 1912 (1871-1935).",
